City,Latitude,Longitudes,Elevation,Date,Precipitation,Temperature,HCHO_reading
Kurunegala Proper,7.467,80.367,116.0,2020-12-01,0.0,79,0.00015897837477498014
Kurunegala Proper,7.467,80.367,116.0,2021-01-30,0.0,81,0.0002001557642128359
Kurunegala Proper,7.467,80.367,116.0,2022-07-17,0.0,83,5.2335354805421296e-05
Kurunegala Proper,7.467,80.367,116.0,2023-02-24,0.0,82,0.00021192804253949876
Colombo Proper,6.9,79.867,7.0,2019-02-21,0.0,82,0.0002230429464187653
Colombo Proper,6.9,79.867,7.0,2019-09-15,1.07,80,0.00010085021847915163
Colombo Proper,6.9,79.867,7.0,2019-10-21,1.3,78,9.30933074164648e-05
Colombo Proper,6.9,79.867,7.0,2020-01-16,0.0,82,0.0002498712910220912
Colombo Proper,6.9,79.867,7.0,2020-02-03,0.0,83,0.0002472165544068208
Colombo Proper,6.9,79.867,7.0,2020-06-30,0.35,85,0.00010067578479271045
Kurunegala Proper,7.467,80.367,116.0,2019-04-08,0.19,86,0.0002901479325215971
Kurunegala Proper,7.467,80.367,116.0,2019-10-16,1.48,78,0.00014649400804169724
Kurunegala Proper,7.467,80.367,116.0,2020-01-13,0.0,82,0.00014854268588903281
Kurunegala Proper,7.467,80.367,116.0,2020-09-15,0.13,82,0.00010173379856993075
Kurunegala Proper,7.467,80.367,116.0,2021-12-28,0.0,80,0.00011708357276474049
Kurunegala Proper,7.467,80.367,116.0,2022-12-01,0.0,81,0.00015857932481310206
Kurunegala Proper,7.467,80.367,116.0,2023-04-02,0.0,81,0.00016854919547749713
Kurunegala Proper,7.467,80.367,116.0,2023-10-16,0.0,81,7.063523244093963e-05
Colombo Proper,6.9,79.867,7.0,2019-06-30,0.0,85,2.0964513707570187e-05
Colombo Proper,6.9,79.867,7.0,2020-01-12,0.0,83,0.00010708493420632839
Colombo Proper,6.9,79.867,7.0,2020-09-13,0.47,82,0.0001609683889167115
Kurunegala Proper,7.467,80.367,116.0,2020-01-27,0.0,83,0.00013870315179319607
Kurunegala Proper,7.467,80.367,116.0,2020-07-31,0.0,82,4.451502214499799e-05
Kurunegala Proper,7.467,80.367,116.0,2021-04-21,0.0,83,0.00034412524317078963
Kurunegala Proper,7.467,80.367,116.0,2022-07-12,0.0,83,6.72701991472819e-05
Kurunegala Proper,7.467,80.367,116.0,2023-02-04,0.04,81,3.626100358706693e-05
Kurunegala Proper,7.467,80.367,116.0,2023-08-05,0.0,84,0.00010281223923894615
Colombo Proper,6.9,79.867,7.0,2019-03-12,0.0,83,0.0002577451751777237
Colombo Proper,6.9,79.867,7.0,2020-03-06,0.0,85,0.00021083901464025268
Kurunegala Proper,7.467,80.367,116.0,2020-03-18,0.0,87,0.000306813957460147
Kurunegala Proper,7.467,80.367,116.0,2021-08-09,0.06,80,0.00019707126742113135
Kurunegala Proper,7.467,80.367,116.0,2022-10-29,0.0,81,0.0002199970479397136
Kurunegala Proper,7.467,80.367,116.0,2022-11-08,0.59,80,0.00010923083473735988
Kurunegala Proper,7.467,80.367,116.0,2023-05-18,0.0,85,0.0002271543796024057
Kurunegala Proper,7.467,80.367,116.0,2023-05-31,0.0,85,0.00023896079075085054
Kurunegala Proper,7.467,80.367,116.0,2023-12-16,0.44,78,4.435046058988194e-05
Colombo Proper,6.9,79.867,7.0,2019-05-20,0.0,86,0.0003986268368399866
Colombo Proper,6.9,79.867,7.0,2019-06-08,0.32,84,0.00012217992950528563
Colombo Proper,6.9,79.867,7.0,2019-06-24,0.09,86,0.00028857390861958265
Colombo Proper,6.9,79.867,7.0,2019-11-21,0.05,82,0.0002690103541566053
Kurunegala Proper,7.467,80.367,116.0,2020-06-14,0.0,84,0.00012643029452753967
Kurunegala Proper,7.467,80.367,116.0,2021-07-29,0.0,82,3.558047937221156e-05
Kurunegala Proper,7.467,80.367,116.0,2022-12-11,0.17,79,8.839638962966672e-05
Kurunegala Proper,7.467,80.367,116.0,2023-05-05,1.63,77,0.000205731449421783
Kurunegala Proper,7.467,80.367,116.0,2023-06-08,0.51,83,0.00010768344560401412
Colombo Proper,6.9,79.867,7.0,2019-02-12,0.0,83,5.8587178500602015e-05
Colombo Proper,6.9,79.867,7.0,2019-05-29,0.22,86,0.00019196456628477307
Colombo Proper,6.9,79.867,7.0,2019-07-28,0.0,84,0.0001041769215942744
Colombo Proper,6.9,79.867,7.0,2020-05-05,0.0,84,0.00020531845184601431
Colombo Proper,6.9,79.867,7.0,2020-08-14,0.0,83,6.551141187371996e-05
Kurunegala Proper,7.467,80.367,116.0,2019-10-26,0.04,81,0.00016195846520303633
Kurunegala Proper,7.467,80.367,116.0,2020-04-15,2.12,80,0.00026789499080636774
Kurunegala Proper,7.467,80.367,116.0,2021-03-18,0.0,84,0.00015563913299479788
Kurunegala Proper,7.467,80.367,116.0,2021-05-20,0.3,81,6.758245945677031e-05
Kurunegala Proper,7.467,80.367,116.0,2021-08-27,0.08,81,0.00013025629740178276
Kurunegala Proper,7.467,80.367,116.0,2021-12-02,0.0,80,0.00019429189378417845
Kurunegala Proper,7.467,80.367,116.0,2021-12-29,0.0,80,0.00011996791547604772
Kurunegala Proper,7.467,80.367,116.0,2023-02-01,0.14,77,0.00012643548539293162
Kurunegala Proper,7.467,80.367,116.0,2023-02-05,0.07,80,0.00013529450317428901
Kurunegala Proper,7.467,80.367,116.0,2023-09-18,0.0,78,7.516766978865285e-05
Colombo Proper,6.9,79.867,7.0,2020-02-19,0.0,82,0.0003606924125485871
Colombo Proper,6.9,79.867,7.0,2020-04-15,0.0,83,4.693396476795897e-05
Colombo Proper,6.9,79.867,7.0,2020-08-21,0.0,85,0.0001855142655410319
Kurunegala Proper,7.467,80.367,116.0,2019-01-06,0.0,82,0.00010155833001770782
Kurunegala Proper,7.467,80.367,116.0,2019-03-26,0.0,83,0.0002917578396021135
Kurunegala Proper,7.467,80.367,116.0,2019-11-05,0.01,83,0.00018437180091659106
Kurunegala Proper,7.467,80.367,116.0,2020-10-26,0.0,83,0.00020596721403154993
Kurunegala Proper,7.467,80.367,116.0,2020-12-26,0.0,76,7.504110056336763e-05
Kurunegala Proper,7.467,80.367,116.0,2021-02-07,0.12,80,5.887679599780196e-05
Kurunegala Proper,7.467,80.367,116.0,2021-09-21,0.14,81,8.828503879263299e-05
Kurunegala Proper,7.467,80.367,116.0,2022-06-13,0.0,83,0.00011177912533022203
Kurunegala Proper,7.467,80.367,116.0,2022-09-02,0.27,79,3.260494537034034e-05
Kurunegala Proper,7.467,80.367,116.0,2022-11-28,3.51,80,0.00012177991419599377
Kurunegala Proper,7.467,80.367,116.0,2023-08-27,0.0,86,0.00017318104361819823
Colombo Proper,6.9,79.867,7.0,2019-03-25,0.0,84,0.0003577663287879659
Colombo Proper,6.9,79.867,7.0,2019-10-10,0.0,83,0.0001929062722760271
Colombo Proper,6.9,79.867,7.0,2020-02-13,0.0,86,0.0002089000604718235
Colombo Proper,6.9,79.867,7.0,2020-04-04,1.77,83,0.00017131145958956622
Colombo Proper,6.9,79.867,7.0,2020-09-11,0.22,83,5.088969002586624e-05
Kurunegala Proper,7.467,80.367,116.0,2019-01-12,0.0,84,0.0001691712548577679
Kurunegala Proper,7.467,80.367,116.0,2019-02-15,0.0,87,6.0740207710781725e-05
Kurunegala Proper,7.467,80.367,116.0,2019-07-04,0.0,86,0.0001960435483633681
Kurunegala Proper,7.467,80.367,116.0,2020-06-17,0.0,83,0.0001119397700067496
Kurunegala Proper,7.467,80.367,116.0,2021-10-25,0.0,81,0.00015838160236985395
Kurunegala Proper,7.467,80.367,116.0,2022-03-04,0.0,80,0.00014457018254596774
Kurunegala Proper,7.467,80.367,116.0,2022-03-30,1.25,81,0.00012712629571816608
Kurunegala Proper,7.467,80.367,116.0,2023-09-27,0.15,80,0.00024652231312374947
Colombo Proper,6.9,79.867,7.0,2019-01-20,0.0,79,0.00016878562164797227
Colombo Proper,6.9,79.867,7.0,2019-09-05,0.13,83,6.189868745003109e-05
Colombo Proper,6.9,79.867,7.0,2020-02-18,0.0,83,0.0003318927710119802
Colombo Proper,6.9,79.867,7.0,2020-04-14,0.0,84,0.00022269607221989425
Kurunegala Proper,7.467,80.367,116.0,2019-11-13,0.0,83,6.125360635138347e-05
Kurunegala Proper,7.467,80.367,116.0,2021-02-10,0.0,81,9.328091245495949e-05
Kurunegala Proper,7.467,80.367,116.0,2021-03-23,0.0,83,4.0379571309284346e-05
Kurunegala Proper,7.467,80.367,116.0,2021-04-24,0.0,84,0.00027580118574332827
Kurunegala Proper,7.467,80.367,116.0,2022-01-17,0.0,81,0.00014035452636162134
Kurunegala Proper,7.467,80.367,116.0,2022-04-17,0.0,82,0.00017247791440686374
Kurunegala Proper,7.467,80.367,116.0,2022-05-06,0.0,82,9.072502667406133e-05
Kurunegala Proper,7.467,80.367,116.0,2023-12-31,0.06,79,0.0001080785867375466
Colombo Proper,6.9,79.867,7.0,2019-01-09,0.0,83,0.00012059789928530154
Colombo Proper,6.9,79.867,7.0,2019-02-20,0.52,82,0.0002720768387394868
Colombo Proper,6.9,79.867,7.0,2019-11-10,0.24,81,9.954417328117415e-05
Colombo Proper,6.9,79.867,7.0,2020-04-02,0.0,85,0.0002478837732618933
Colombo Proper,6.9,79.867,7.0,2020-05-13,0.13,84,0.00016318259173762225
Colombo Proper,6.9,79.867,7.0,2020-06-24,0.0,85,5.662947675622413e-05
Colombo Proper,6.9,79.867,7.0,2020-08-26,0.0,85,0.00012725378676003141
Kurunegala Proper,7.467,80.367,116.0,2020-05-25,0.0,85,8.508361281755051e-05
Kurunegala Proper,7.467,80.367,116.0,2020-10-07,0.0,81,0.000134449173776163
Kurunegala Proper,7.467,80.367,116.0,2020-10-25,0.0,83,0.00015482738489700523
Kurunegala Proper,7.467,80.367,116.0,2021-10-09,0.0,81,5.35220209219867e-05
Kurunegala Proper,7.467,80.367,116.0,2022-04-10,0.94,77,8.368835313408671e-05
Colombo Proper,6.9,79.867,7.0,2019-04-19,0.22,85,0.0001684974821728762
Colombo Proper,6.9,79.867,7.0,2020-09-22,0.76,80,7.417165978667402e-05
Kurunegala Proper,7.467,80.367,116.0,2019-09-16,0.95,78,7.158458322334444e-05
Kurunegala Proper,7.467,80.367,116.0,2019-11-09,0.0,85,8.715247531654315e-05
Kurunegala Proper,7.467,80.367,116.0,2020-05-06,1.26,81,0.00021784534474672524
